Track URI;Track Name;Artist URI(s);Artist Name(s);Album URI;Album Name;Album Artist URI(s);Album Artist Name(s);Album Release Date;Album Image URL
spotify:track:1XAZlnVtthcDZt2NI1Dtxo;Justified & Ancient - Stand by the Jams;spotify:artist:6dYrdRlNZSKaVxYg5IrvCH;The KLF;spotify:album:4MC0ZjNtVP1nDD5lsLxFjc;Songs Collection;spotify:artist:6dYrdRlNZSKaVxYg5IrvCH;The KLF;1992-08-03;https://i.scdn.co/image/ab67616d0000b27355346bc1f268730f607f9544
spotify:track:6a8GbQIlV8HBUW3c6Uk9PH;I Know You Want Me (Calle Ocho);spotify:artist:0TnOYISbd1XYRBk9myaseg;Pitbull;spotify:album:5xLAcbvbSAlRtPXnKkggXA;Pitbull Starring In Rebelution;spotify:artist:0TnOYISbd1XYRBk9myaseg;Pitbull;2009-10-23;https://i.scdn.co/image/ab67616d0000b27326d73ab8423a350faa5d395a
spotify:track:70XtWbcVZcpaOddJftMcVi;From the Bottom of My Broken Heart;spotify:artist:26dSoYclwsYLMAKD3tpOr4;Britney Spears;spotify:album:3WNxdumkSMGMJRhEgK80qx;...Baby One More Time (Digital Deluxe Version);spotify:artist:26dSoYclwsYLMAKD3tpOr4;Britney Spears;1999-01-12;https://i.scdn.co/image/ab67616d0000b2738e49866860c25afffe2f1a02
spotify:track:1NXUWyPJk5kO6DQJ5t7bDu;Apeman - 2014 Remastered Version;spotify:artist:1SQRv42e4PjEYfPhS0Tk9E;The Kinks;spotify:album:6lL6HugNEN4Vlc8sj0Zcse;Lola vs. Powerman and the Moneygoround, Pt. One + Percy (Super Deluxe);spotify:artist:1SQRv42e4PjEYfPhS0Tk9E;The Kinks;2014-10-20;https://i.scdn.co/image/ab67616d0000b2731e7c5307ccbbb74101e0cc77
spotify:track:72WZtWs6V7uu3aMgMmEkYe;You Can't Always Get What You Want;spotify:artist:22bE4uQ6baNwSHPVcDxLCe;The Rolling Stones;spotify:album:0c78nsgqX6VfniSNWIxwoD;Let It Bleed;spotify:artist:22bE4uQ6baNwSHPVcDxLCe;The Rolling Stones;1969-12-05;https://i.scdn.co/image/ab67616d0000b27373d92707b0e7da0c493f5b86
spotify:track:4bEb3KE4mSKlTFjtWJQBqO;Don't Stop - 2004 Remaster;spotify:artist:08GQAI4eElDnROBrJRGE0X;Fleetwood Mac;spotify:album:1bt6q2SruMsBtcerNVtpZB;Rumours;spotify:artist:08GQAI4eElDnROBrJRGE0X;Fleetwood Mac;1977-02-04;https://i.scdn.co/image/ab67616d0000b27357df7ce0eac715cf70e519a7
spotify:track:0d2iYfpKoM0QCKvcLCkBao;Eastside (with Halsey & Khalid);spotify:artist:5CiGnKThu5ctn9pBxv7DGa, spotify:artist:26VFTg2z8YR0cCuwLzESi2, spotify:artist:6LuN9FCkKOj5PcnpouEgny;benny blanco, Halsey, Khalid;spotify:album:7pkLXlFdpQDfmHujT2AbBK;Eastside (with Halsey & Khalid);spotify:artist:5CiGnKThu5ctn9pBxv7DGa, spotify:artist:26VFTg2z8YR0cCuwLzESi2, spotify:artist:6LuN9FCkKOj5PcnpouEgny;benny blanco, Halsey, Khalid;2018-07-12;https://i.scdn.co/image/ab67616d0000b2733154f0bdf9a17385d7afc6ba
spotify:track:5LjSxAIKwyZvQqJ04ZQ0Da;Something About The Way You Look Tonight - Edit Version;spotify:artist:3PhoLpVuITZKcymswpck5b;Elton John;spotify:album:3g61rwvRs1NPeVBxuAMmHZ;Candle In The Wind 1997 / Something About ...;spotify:artist:3PhoLpVuITZKcymswpck5b;Elton John;1997-01-01;https://i.scdn.co/image/ab67616d0000b27352a56df14c3a5e318925787c
spotify:track:00qOE7OjRl0BpYiCiweZB2;Juke Box Hero;spotify:artist:6IRouO5mvvfcyxtPDKMYFN;Foreigner;spotify:album:2Pw51hAGvWpTA3AYl2WVuu;4 (Expanded);spotify:artist:6IRouO5mvvfcyxtPDKMYFN;Foreigner;1981;https://i.scdn.co/image/ab67616d0000b27362d48acfd5073491df46f7ac
spotify:track:3OalxlWH0v14kyBcNBMINt;Mercy;spotify:artist:7n2wHs1TKAczGzO7Dd2rGr;Shawn Mendes;spotify:album:0S9QJQiRmG9JYYfJfKqhDF;Illuminate (Deluxe);spotify:artist:7n2wHs1TKAczGzO7Dd2rGr;Shawn Mendes;2016-09-23;https://i.scdn.co/image/ab67616d0000b2738a24ed638eedd60514a789ef
